Org,Domain,Count
Europe without Barriers,Democracy,1
Europe without Barriers,Human/Fundamental Rights,2
Europe without Barriers,Migration,1
Europe without Barriers,Trade/economy,3
Kazakhstan International Bureau for Human Rights and Rule of Law,Human/Fundamental Rights,1
"The ""New Europe Center""",Conflict/War,1
"The ""New Europe Center""",Democracy,3
"The ""New Europe Center""",Energy/Climate/Sustainability,2
"The ""New Europe Center""",Human/Fundamental Rights,2
"The ""New Europe Center""",Trade/economy,1
VoxUkraine,Democracy,2
VoxUkraine,Digital Technology,1
VoxUkraine,Energy/Climate/Sustainability,1
VoxUkraine,Human/Fundamental Rights,2
YUCOM: Lawyersâ€™ Committee for Human Rights,Human/Fundamental Rights,1
